Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Merlin Wilson,Washington Bullets,Georgetown,1976,8,15,137
Tim Sisneros,Cleveland Cavaliers,Middle Tennessee State,1976,8,16,138
John Clark,Boston Celtics,Northeastern,1976,8,17,139
Stan Boskovich,Golden State Warriors,West Virginia,1976,8,18,140
John Thomas,Chicago Bulls,Connecticut,1976,9,1,141
Bob Kovach,Atlanta Hawks,San Diego State,1976,9,2,142
Dave Logan,Kansas City Kings,Colorado,1976,9,3,143
Bill Martin,Detroit Pistons,Hartwick,1976,9,4,144
Rob Torresdal,Portland Trail Blazers,Linfield,1976,9,5,145
Benny Shaw,Milwaukee Bucks,Florida Tech,1976,9,6,146
Archie Talley,New York Knicks,Salem International,1976,9,7,147
Calvin Robinson,New Orleans Jazz,Mississippi Valley State,1976,9,8,148
David Pickett,Los Angeles Lakers,Louisiana-Monroe,1976,9,9,149
John Irving,Phoenix Suns,Hofstra,1976,9,10,150
Ron Johnson,Seattle SuperSonics,North Carolina A&T,1976,9,11,151
Fly Williams,Philadelphia 76ers,Austin Peay,1976,9,12,152
Bob Rozyczko,Buffalo Braves,St. Bonaventure,1976,9,13,153
Clyde Agnew,Washington Bullets,Newberry,1976,9,14,154
Bruce Parkinson,Cleveland Cavaliers,Purdue,1976,9,15,155
Bill Collins,Boston Celtics,Boston College,1976,9,16,156
Howard Smith,Golden State Warriors,San Francisco,1976,9,17,157
John Hudson,Chicago Bulls,Concord,1976,10,1,158
Mike Dickerson,Atlanta Hawks,South Florida,1976,10,2,159
Harry Bailey,Kansas City Kings,North Texas,1976,10,3,160
Bob Johnson,Detroit Pistons,Wisconsin,1976,10,4,161
Marcus Leite,Portland Trail Blazers,Pepperdine,1976,10,5,162
Eugene Shy,New York Knicks,Florida,1976,10,6,163
Art Johnson,New Orleans Jazz,Iowa State,1976,10,7,164
Hugo Cabrera,Milwaukee Bucks,Texas A&M-Commerce,1976,10,8,165
Gary Jackson,Phoenix Suns,Arizona State,1976,10,9,166
Ricky Lewis,Seattle SuperSonics,Alcorn State,1976,10,10,167
Ed Stefanski,Philadelphia 76ers,Pennsylvania,1976,10,11,168
Tim Stokes,Buffalo Braves,Canisius,1976,10,12,169
Mike Beuscher,Washington Bullets,Seton Hall,1976,10,13,170
Elisha McSweeney,Cleveland Cavaliers,Minnesota State-Mankato,1976,10,14,171
Otho Tucker,Boston Celtics,Illinois,1976,10,15,172
Ken Smith,Golden State Warriors,San Diego State,1976,10,16,173
David Thompson ,Atlanta Hawks,North Carolina State,1975,1,1,1
Dave Meyers ,Los Angeles Lakers,California-Los Angeles,1975,1,2,2
Marvin Webster ,Atlanta Hawks,Morgan State,1975,1,3,3
Alvan Adams ,Phoenix Suns,Oklahoma,1975,1,4,4
Darryl Dawkins ,Philadelphia 76ers,Maynard Evans,1975,1,5,5
Lionel Hollins ,Portland Trail Blazers,Arizona State,1975,1,6,6
Rich Kelley ,New Orleans Jazz,Stanford,1975,1,7,7
Junior Bridgeman ,Los Angeles Lakers,Louisville,1975,1,8,8
Gene Short ,New York Knicks,Jackson State,1975,1,9,9
Bill Robinzine ,Kansas City Kings,DePaul,1975,1,10,10
Joe Meriweather ,Houston Rockets,Southern Illinois,1975,1,11,11
Frank Oleynick ,Seattle SuperSonics,Seattle,1975,1,12,12
Bob Bigelow ,Kansas City Kings,Pennsylvania,1975,1,13,13
Joe Bryant ,Golden State Warriors,La Salle,1975,1,14,14
John Lambert ,Cleveland Cavaliers,Southern California,1975,1,15,15
Ricky Sobers ,Phoenix Suns,Nevada-Las Vegas,1975,1,16,16
Tom Boswell ,Boston Celtics,South Carolina,1975,1,17,17
Kevin Grevey ,Washington Bullets,Kentucky,1975,1,18,18
Bill Willoughby ,Atlanta Hawks,Dwight Morrow,1975,2,1,19
Gus Williams ,Golden State Warriors,Southern California,1975,2,2,20
Bruce Seals ,Seattle SuperSonics,Xavier (LA),1975,2,3,21
Clyde Mayes ,Milwaukee Bucks,Furman,1975,2,4,22
World Free ,Philadelphia 76ers,Guilford,1975,2,5,23
Cornelius Cash ,Milwaukee Bucks,Bowling Green,1975,2,6,24
Bob Gross ,Portland Trail Blazers,Long Beach State,1975,2,7,25
Luther Burden ,New York Knicks,Utah,1975,2,8,26
Walter Luckett,Detroit Pistons,Ohio,1975,2,9,27
Dan Roundfield ,Cleveland Cavaliers,Central Michigan,1975,2,10,28
Jim Blanks,Houston Rockets,Gardner-Webb,1975,2,11,29
Steve Green ,Chicago Bulls,Indiana,1975,2,12,30
Glenn Hansen ,Kansas City Kings,Louisiana State,1975,2,13,31
John Laskowski ,Chicago Bulls,Indiana,1975,2,14,32
Mel Utley,Cleveland Cavaliers,St. John's (NY),1975,2,15,33
Larry Fogle ,New York Knicks,Canisius,1975,2,16,34
Allen Murphy ,Phoenix Suns,Louisville,1975,2,17,35
Jimmy Conner,Phoenix Suns,Kentucky,1975,2,18,36
Rudy Hackett ,New Orleans Jazz,Syracuse,1975,3,1,37
Jim McElroy ,New Orleans Jazz,Central Michigan,1975,3,2,38
Jimmie Baker,Philadelphia 76ers,Hawaii,1975,3,3,39
Otis Johnson,Golden State Warriors,Stetson,1975,3,4,40
Charles Cleveland,Philadelphia 76ers,Alabama,1975,3,5,41
Tom Roy,Portland Trail Blazers,Maryland,1975,3,6,42
Brian Hammel,Milwaukee Bucks,Bentley,1975,3,7,43
Pete Trgovich,Detroit Pistons,California-Los Angeles,1975,3,8,44
Ted Hathaway,Cleveland Cavaliers,Cleveland State,1975,3,9,45
John Ramsey,New York Knicks,Seton Hall,1975,3,10,46
Rudy White ,Houston Rockets,Arizona State,1975,3,11,47
Tom Kropp ,Washington Bullets,Nebraska-Kearney,1975,3,12,48
Bob Guyette,Kansas City Kings,Kentucky,1975,3,13,49
Gus Gerard ,Portland Trail Blazers,Virginia,1975,3,14,50
Robert Hawkins ,Golden State Warriors,Illinois State,1975,3,15,51
George Bucci,Buffalo Braves,Manhattan,1975,3,16,52
Jerome Anderson ,Boston Celtics,West Virginia,1975,3,17,53
Bayard Forrest ,Phoenix Suns,Grand Canyon,1975,3,18,54
Mack Coleman,New Orleans Jazz,Houston Baptist,1975,4,1,55
Charles Kupec ,Los Angeles Lakers,Michigan,1975,4,2,56
Monte Towe ,Atlanta Hawks,North Carolina State,1975,4,3,57
Sam McCants,Phoenix Suns,Oral Roberts,1975,4,4,58
Louis Dunbar,Philadelphia 76ers,Houston,1975,4,5,59
Bill Campion,Milwaukee Bucks,Manhattan,1975,4,6,60
Phil Hicks ,Portland Trail Blazers,Tulane,1975,4,7,61
Eric Fernsten ,Cleveland Cavaliers,San Francisco,1975,4,8,62
David Vaughn,New York Knicks,Oral Roberts,1975,4,9,63
Lindsay Hairston ,Detroit Pistons,Michigan State,1975,4,10,64
Ken Smith,Houston Rockets,Tulsa,1975,4,11,65
Jim Moore,Seattle SuperSonics,Utah State,1975,4,12,66
Kevin Cleuss,Kansas City Kings,St. John's (NY),1975,4,13,67
Ron Haigler,Chicago Bulls,Pennsylvania,1975,4,14,68
Billy Taylor,Golden State Warriors,La Salle,1975,4,15,69
Bob Fleischer,Buffalo Braves,Duke,1975,4,16,70
Fessor Leonard,Washington Bullets,Furman,1975,4,17,71
Cyrus Mann,Boston Celtics,Illinois State,1975,4,18,72
Andre Hampton,New Orleans Jazz,Kentucky State,1975,5,1,73
Charles Russell,Los Angeles Lakers,Alabama,1975,5,2,74
Wilbur Holland ,Atlanta Hawks,New Orleans,1975,5,3,75
Joe Pace ,Phoenix Suns,Coppin State,1975,5,4,76
Ken Tyler,Philadelphia 76ers,Gonzaga,1975,5,5,77
Maurice Presley,Portland Trail Blazers,Houston,1975,5,6,78
Jim Lee,Cleveland Cavaliers,Syracuse,1975,5,7,79
Donald Washington,New York Knicks,North Carolina,1975,5,8,80
Cliff Pratt,Detroit Pistons,Shaw,1975,5,9,81
Mike Odems,Cleveland Cavaliers,Western Kentucky,1975,5,10,82
Rick Whitlow,Houston Rockets,Illinois State,1975,5,11,83
Dwain Govan,Seattle SuperSonics,Bishop,1975,5,12,84
Ed Stahl,Kansas City Kings,North Carolina,1975,5,13,85
Bob Iverson,Chicago Bulls,North Texas,1975,5,14,86
Larry Pounds,Golden State Warriors,Washington,1975,5,15,87
Sam Berry,Buffalo Braves,Armstrong,1975,5,16,88
Darryl Brown,Boston Celtics,Fordham,1975,5,17,89
Rich Jones,Washington Bullets,Virginia Commonwealth,1975,5,18,90
Rich Schmidt,New Orleans Jazz,Illinois,1975,6,1,91
Don Ford ,Los Angeles Lakers,California-Santa Barbara,1975,6,2,92
Danny Williams,Atlanta Hawks,Mississippi,1975,6,3,93
Buff Burrell,Phoenix Suns,Southern California,1975,6,4,94
Ken Alston,Philadelphia 76ers,Valdosta State,1975,6,5,95
Oliver Purnell,Milwaukee Bucks,Old Dominion,1975,6,6,96
Gerald Willett,Portland Trail Blazers,Oregon,1975,6,7,97
Allen Spruill,Detroit Pistons,North Carolina A&T,1975,6,8,98
Henry Ward ,Cleveland Cavaliers,Jackson State,1975,6,9,99
Hank Williams,New York Knicks,Jacksonville,1975,6,10,100
William Johnson,Houston Rockets,Texas Tech,1975,6,11,101
Larry Smith,Seattle SuperSonics,North Carolina A&T,1975,6,12,102
Clint Chapman,Kansas City Kings,Southern California,1975,6,13,103
Bill Andreas,Chicago Bulls,Ohio State,1975,6,14,104
Tony Styles,Golden State Warriors,San Francisco,1975,6,15,105
Larry Jackson,Buffalo Braves,North Carolina-Charlotte,1975,6,16,106
John Garrett,Washington Bullets,Purdue,1975,6,17,107
Rick Coleman,Boston Celtics,Jacksonville,1975,6,18,108
Bill Higgins,New Orleans Jazz,Ashland,1975,7,1,109
Rick Suttle,Los Angeles Lakers,Kansas,1975,7,2,110
Gus Johnson,Atlanta Hawks,Winona State,1975,7,3,111
Dave Edmunds,Phoenix Suns,West Georgia,1975,7,4,112
Mike Flynn ,Philadelphia 76ers,Kentucky,1975,7,5,113
Steve Fields,Portland Trail Blazers,Miami (OH),1975,7,6,114
Wilbur Thomas,Milwaukee Bucks,American,1975,7,7,115
Shawn Leftwick,Cleveland Cavaliers,Jacksonville,1975,7,8,116
Peter Davis,New York Knicks,Michigan State,1975,7,9,117
Ike Williams,Detroit Pistons,Armstrong,1975,7,10,118
Nathaniel Barnett,Houston Rockets,Akron,1975,7,11,119
Hollis Miller,Seattle SuperSonics,Drury,1975,7,12,120
Wayne Croft,Kansas City Kings,Clemson,1975,7,13,121
John Grochowalski,Chicago Bulls,Assumption,1975,7,14,122
Stan Boyer,Golden State Warriors,Wyoming,1975,7,15,123
Mike Franklin,Buffalo Braves,Cincinnati,1975,7,16,124
Al Boswell,Boston Celtics,Oral Roberts,1975,7,17,125
Fletcher Johnson,Washington Bullets,Randolph-Macon,1975,7,18,126
Harvey Carmichael,New Orleans Jazz,Kentucky State,1975,8,1,127
Mike Cashman,Los Angeles Lakers,Willamette,1975,8,2,128
Oscar Jackson,Atlanta Hawks,Duquesne,1975,8,3,129
Jack Schrader,Phoenix Suns,Arizona State,1975,8,4,130
Freeman Blade,Philadelphia 76ers,Montana State,1975,8,5,131
Bob McCurdy,Milwaukee Bucks,Richmond,1975,8,6,132
Charley Neal,Portland Trail Blazers,Oregon State,1975,8,7,133
Jerry Homan,New York Knicks,Marquette,1975,8,8,134
John Kelley,Detroit Pistons,Dillard,1975,8,9,135
Andre McCarter ,Cleveland Cavaliers,California-Los Angeles,1975,8,10,136
Leon Johnson,Houston Rockets,Centenary (LA),1975,8,11,137
Ken McKenzie,Seattle SuperSonics,Montana,1975,8,12,138
Jim Bostic ,Kansas City Kings,New Mexico State,1975,8,13,139
John Murphy,Chicago Bulls,Massachusetts,1975,8,14,140
Mike Rozenski,Golden State Warriors,St. Mary's (CA),1975,8,15,141
Allen Jones,Buffalo Braves,Pepperdine,1975,8,16,142
Bruce Hamming,Washington Bullets,Augustana (IL),1975,8,17,143
Roger Morningstar,Boston Celtics,Kansas,1975,8,18,144
Fred Stokes,New Orleans Jazz,Barber-Scotia,1975,9,1,145
Dave Schlesser,Atlanta Hawks,Morningside,1975,9,2,146
Owen Brown,Phoenix Suns,Maryland,1975,9,3,147
Larry Harralson,Philadelphia 76ers,Drake,1975,9,4,148
Quintin Braxton,Portland Trail Blazers,Portland,1975,9,5,149
Eric Hays,Milwaukee Bucks,Montana,1975,9,6,150
Terry Thomas ,Detroit Pistons,Detroit Mercy,1975,9,7,151
Skip Howard,Cleveland Cavaliers,Bowling Green,1975,9,8,152
Tim van Blommesteyn,New York Knicks,Princeton,1975,9,9,153
Steve Storther,Houston Rockets,Providence,1975,9,10,154
Rich Haws,Seattle SuperSonics,Utah State,1975,9,11,155
Gary Tomaszewski,Chicago Bulls,St. Mary's (TX),1975,9,12,156
Scott Trobbe,Golden State Warriors,Stanford,1975,9,13,157
George Rautins,Buffalo Braves,Niagara,1975,9,14,158
Robert Rhodes,Boston Celtics,Albany State (GA),1975,9,15,159
Doug Brookins,Washington Bullets,Creighton,1975,9,16,160
Aleksander Belov,New Orleans Jazz,BC Spartak Saint Petersburg (Russia),1975,10,1,161
Vic Kelly,Atlanta Hawks,Hawaii,1975,10,2,162
Mike Moon,Phoenix Suns,Arizona State,1975,10,3,163
Rick Reed,Philadelphia 76ers,Azusa Pacific,1975,10,4,164
Romy Thomas,Milwaukee Bucks,Wisconsin-Eau Claire,1975,10,5,165
Tyree Foster,Portland Trail Blazers,Portland,1975,10,6,166
Eric Anderson,Cleveland Cavaliers,Macalester,1975,10,7,167
Mo Rivers,New York Knicks,North Carolina State,1975,10,8,168
Mickey Fox,Detroit Pistons,Saint Mary's (CAN),1975,10,9,169
Jerry Bellotti,Seattle SuperSonics,Santa Clara,1975,10,10,170
Maurice Harper,Golden State Warriors,St. Mary's (CA),1975,10,11,171
Art Allen,Buffalo Braves,Pepperdine,1975,10,12,172
Mike Fahey,Washington Bullets,Brandeis,1975,10,13,173
Bill Endicott,Boston Celtics,Massachusetts,1975,10,14,174
Bill Walton ,Portland Trail Blazers,California-Los Angeles,1974,1,1,1
Marvin Barnes ,Philadelphia 76ers,Providence,1974,1,2,2
Tom Burleson ,Seattle SuperSonics,North Carolina State,1974,1,3,3
John Shumate ,Phoenix Suns,Notre Dame,1974,1,4,4
Bobby Jones ,Houston Rockets,North Carolina,1974,1,5,5
Scott Wedman ,Kansas City-Omaha Kings,Colorado,1974,1,6,6
Tom Henderson ,Atlanta Hawks,Hawaii,1974,1,7,7
Campy Russell ,Cleveland Cavaliers,Michigan,1974,1,8,8
Tom McMillen ,Buffalo Braves,Maryland,1974,1,9,9
Mike Sojourner ,Atlanta Hawks,Utah,1974,1,10,10
Jamaal Wilkes ,Golden State Warriors,California-Los Angeles,1974,1,11,11
Brian Winters ,Los Angeles Lakers,South Carolina,1974,1,12,12
Len Elmore ,Washington Bullets,Maryland,1974,1,13,13
Maurice Lucas ,Chicago Bulls,Marquette,1974,1,14,14
Al Eberhard ,Detroit Pistons,Missouri,1974,1,15,15
Cliff Pondexter ,Chicago Bulls,Long Beach State,1974,1,16,16
Glenn McDonald ,Boston Celtics,Long Beach State,1974,1,17,17
Gary Brokaw ,Milwaukee Bucks,Notre Dame,1974,1,18,18
Don Smith ,Philadelphia 76ers,Dayton,1974,2,1,19
Jan Van Breda Kolff ,Portland Trail Blazers,Vanderbilt,1974,2,2,20
Billy Knight ,Los Angeles Lakers,Pittsburgh,1974,2,3,21
Truck Robinson ,Washington Bullets,Tennessee State,1974,2,4,22
Gus Bailey ,Houston Rockets,Texas-El Paso,1974,2,5,23
Len Kosmalski ,Kansas City-Omaha Kings,Tennessee,1974,2,6,24
John Drew ,Atlanta Hawks,Gardner-Webb,1974,2,7,25
Leonard Gray ,Seattle SuperSonics,Long Beach State,1974,2,8,26
Leon Benbow ,Chicago Bulls,Jacksonville,1974,2,9,27
Aaron James ,New Orleans Jazz,Grambling,1974,2,10,28
Phil Smith ,Golden State Warriors,San Francisco,1974,2,11,29
Dennis DuVal ,Washington Bullets,Syracuse,1974,2,12,30
Fred Saunders ,Phoenix Suns,Syracuse,1974,2,13,31
Jesse Dark ,New York Knicks,Virginia Commonwealth,1974,2,14,32
Eric Money ,Detroit Pistons,Arizona,1974,2,15,33
Phil Lumpkin ,Portland Trail Blazers,Miami (OH),1974,2,16,34
Kevin Stacom ,Boston Celtics,Providence,1974,2,17,35
Rubin Collins,Portland Trail Blazers,Maryland-Eastern Shore,1974,2,18,36
Connie Norman ,Philadelphia 76ers,Arizona,1974,3,1,37
Foots Walker ,Cleveland Cavaliers,West Georgia,1974,3,2,38
Kevin Restani ,Cleveland Cavaliers,San Francisco,1974,3,3,39
George Gervin ,Phoenix Suns,Eastern Michigan,1974,3,4,40
Robert Wilson,Houston Rockets,Iowa State,1974,3,5,41
Harvey Catchings ,Philadelphia 76ers,Hardin-Simmons,1974,3,6,42
Darrell Elston ,Atlanta Hawks,North Carolina,1974,3,7,43
Talvin Skinner ,Seattle SuperSonics,Maryland-Eastern Shore,1974,3,8,44
Kim Hughes ,Buffalo Braves,Wisconsin,1974,3,9,45
Bruce King,New Orleans Jazz,Texas-Pan American,1974,3,10,46
Frank Kendrick ,Golden State Warriors,Purdue,1974,3,11,47
Jim Bradley,Los Angeles Lakers,Northern Illinois,1974,3,12,48
Earl Williams ,Phoenix Suns,Winston-Salem State,1974,3,13,49
Rudy Jackson,New York Knicks,Hutchinson Community College,1974,3,14,50
Roland Grant,Detroit Pistons,New Mexico State,1974,3,15,51
Bobby Wilson ,Chicago Bulls,Wichita State,1974,3,16,52
Roscoe Pondexter,Boston Celtics,Long Beach State,1974,3,17,53
Greg McDougald,Milwaukee Bucks,Oral Roberts,1974,3,18,54
Butch Taylor,Philadelphia 76ers,Jacksonville,1974,4,1,55
Mickey Johnson ,Portland Trail Blazers,Aurora,1974,4,2,56
James Foster,Cleveland Cavaliers,Connecticut,1974,4,3,57
Randy Allen,Phoenix Suns,Indiana (PA),1974,4,4,58
Larry Robinson,Houston Rockets,Texas,1974,4,5,59
Lloyd Batts,Kansas City-Omaha Kings,Cincinnati,1974,4,6,60
Ed Palubinskas,Atlanta Hawks,Louisiana State,1974,4,7,61
William Gordon,Seattle SuperSonics,Maryland-Eastern Shore,1974,4,8,62
Bernie Harris ,Buffalo Braves,Virginia Commonwealth,1974,4,9,63
Ray Price,New Orleans Jazz,Washington,1974,4,10,64
Willie Biles,Golden State Warriors,Tulsa,1974,4,11,65
Stan Washington ,Washington Bullets,San Diego,1974,4,12,66
Ron de Vries,Los Angeles Lakers,Illinois State,1974,4,13,67
Roy Ebron,New York Knicks,Louisiana-Lafayette,1974,4,14,68
Mickey Martin,Detroit Pistons,Pittsburgh,1974,4,15,69
Jim Forbes,Chicago Bulls,Texas-El Paso,1974,4,16,70
Lerman Battle,Boston Celtics,Fairmont State,1974,4,17,71
Lionel Billingy,Milwaukee Bucks,Duquesne,1974,4,18,72
Gary Crowthers,Philadelphia 76ers,Hardin-Simmons,1974,5,1,73
Bernard Hardin,Portland Trail Blazers,New Mexico,1974,5,2,74
Gary Novak,Cleveland Cavaliers,Notre Dame,1974,5,3,75
Ralph Bobik,Phoenix Suns,Creighton,1974,5,4,76
Owen Wells ,Houston Rockets,Detroit Mercy,1974,5,5,77
Terry Compton,Kansas City-Omaha Kings,Vanderbilt,1974,5,6,78
Tyrone Medley,Atlanta Hawks,Utah,1974,5,7,79
Dean Tolson ,Seattle SuperSonics,Arkansas,1974,5,8,80
Tony Byers,Buffalo Braves,Wake Forest,1974,5,9,81
Ed Searcy ,New Orleans Jazz,St. John's (NY),1974,5,10,82
Steve Erickson,Golden State Warriors,Oregon,1974,5,11,83
Seymour Reed,Los Angeles Lakers,Bradley,1974,5,12,84
Gary Anderson,Washington Bullets,Washington,1974,5,13,85
Greg Jackson ,New York Knicks,Guilford,1974,5,14,86
Joe Newman,Detroit Pistons,Temple,1974,5,15,87
Randy Knowles,Chicago Bulls,Texas A&M,1974,5,16,88
Ben Clyde ,Boston Celtics,Florida State,1974,5,17,89
John Johnson,Milwaukee Bucks,Denver,1974,5,18,90
Mark Westra,Philadelphia 76ers,Southern California,1974,6,1,91
Daniel Anderson ,Portland Trail Blazers,Southern California,1974,6,2,92
Aron Stewart,Cleveland Cavaliers,Richmond,1974,6,3,93
Collis Temple,Phoenix Suns,Louisiana State,1974,6,4,94
Lawrence Johnson,Houston Rockets,Prairie View A&M,1974,6,5,95
Ron Kennedy,Kansas City-Omaha Kings,Arizona,1974,6,6,96
Sam Hervey,Atlanta Hawks,Southern Methodist,1974,6,7,97
Wardell Jackson ,Seattle SuperSonics,Ohio State,1974,6,8,98
Gary Link,Buffalo Braves,Missouri,1974,6,9,99
Lawrence McCray,New Orleans Jazz,Florida State,1974,6,10,100
John Errecart,Golden State Warriors,Pacific,1974,6,11,101
Roy McPipe,Washington Bullets,Montana State,1974,6,12,102
Billy Morris,Los Angeles Lakers,Saint Louis,1974,6,13,103
Terry Mikan,New York Knicks,St. Thomas (FL),1974,6,14,104
Mike Sylvester,Detroit Pistons,Dayton,1974,6,15,105
Robert Rosier,Chicago Bulls,St. Thomas (FL),1974,6,16,106
Gene Harmon,Boston Celtics,Creighton,1974,6,17,107
Larry Williams,Milwaukee Bucks,Kansas State,1974,6,18,108
Dave Stoczynski,Philadelphia 76ers,Gannon,1974,7,1,109
Doug Richards,Portland Trail Blazers,Brigham Young,1974,7,2,110
Mike Robinson,Cleveland Cavaliers,Michigan State,1974,7,3,111
Clyde Dickey,Phoenix Suns,Boise State,1974,7,4,112
Kevin Fitzgerald,Houston Rockets,Oklahoma,1974,7,5,113
Mark Browne,Kansas City-Omaha Kings,Missouri,1974,7,6,114
Greg Lee ,Atlanta Hawks,California-Los Angeles,1974,7,7,115
Jerry Faulkner,Seattle SuperSonics,West Georgia,1974,7,8,116
Tommy Curtis,Buffalo Braves,California-Los Angeles,1974,7,9,117
Joel Copeland,New Orleans Jazz,Old Dominion,1974,7,10,118
Brady Allen,Golden State Warriors,California,1974,7,11,119
Dennis Van Zant,Los Angeles Lakers,Azusa Pacific,1974,7,12,120
Tom Turner,Washington Bullets,West Georgia,1974,7,13,121
Billy Smith,New York Knicks,Mercer,1974,7,14,122
Sammy High,Detroit Pistons,Tulsa,1974,7,15,123
Geoff Roberts,Chicago Bulls,Missouri,1974,7,16,124
Ron Brown,Boston Celtics,Penn State,1974,7,17,125
Bob Hornstein,Milwaukee Bucks,West Virginia,1974,7,18,126
Jimmy Powell,Philadelphia 76ers,Middle Tennessee State,1974,8,1,127
Eldridge Broussard,Portland Trail Blazers,Pacific (OR),1974,8,2,128
Kerry Hughes,Cleveland Cavaliers,Wisconsin,1974,8,3,129
Tom Holland,Phoenix Suns,Oklahoma,1974,8,4,130
Steve Brooks,Houston Rockets,Arkansas State,1974,8,5,131
Richie O'Connor,Kansas City-Omaha Kings,Fairfield,1974,8,6,132
Bill Butler,Atlanta Hawks,Louisville,1974,8,7,133
Leonard Coulter,Seattle SuperSonics,Morehead State,1974,8,8,134
Glenn Price,Buffalo Braves,St. Bonaventure,1974,8,9,135
Jay Piccola,New Orleans Jazz,Roanoke,1974,8,10,136
Clarence Allen,Golden State Warriors,California-Santa Barbara,1974,8,11,137
Steve Platt,Washington Bullets,Huntington,1974,8,12,138
Bob Florence,Los Angeles Lakers,Nevada-Las Vegas,1974,8,13,139
Dennis McDermott,New York Knicks,St. Francis Brooklyn,1974,8,14,140
Greg Newman,Detroit Pistons,Drexel,1974,8,15,141
Sam McCants,Chicago Bulls,Oral Roberts,1974,8,16,142
Richard Wallace,Boston Celtics,Georgia Southern,1974,8,17,143
Ralph Palamar,Milwaukee Bucks,Cameron,1974,8,18,144
Perry Warbington ,Philadelphia 76ers,Georgia Southern,1974,9,1,145
Lee Haven,Portland Trail Blazers,Colorado,1974,9,2,146
Jim Buskofsky,Cleveland Cavaliers,Upper Iowa,1974,9,3,147
Ted Evans,Phoenix Suns,Oklahoma,1974,9,4,148
Ken Stalling,Houston Rockets,Missouri S&T,1974,9,5,149
Jeff Dawson,Kansas City-Omaha Kings,Illinois,1974,9,6,150
Lon Kruger,Atlanta Hawks,Kansas State,1974,9,7,151
Bertrand du Pont,Seattle SuperSonics,Dillard,1974,9,8,152
John Falconi,Buffalo Braves,Davidson,1974,9,9,153
Ken Boyd ,New Orleans Jazz,Boston University,1974,9,10,154
Carl Meier,Golden State Warriors,California,1974,9,11,155
